Sentiment,Tokens,Reviews
positive,"['cô', 'wzjwz280', 'dạy', 'rất', 'kỹ', 'và', 'nhiệt_tình']",cô wzjwz280 dạy rất kỹ và nhiệt tình .
negative,"['thầy', 'nên', 'có', 'cách', 'dạy', 'mới', 'cho', 'môn_học', 'này', 'để', 'được', 'kết_quả', 'tốt', 'cho', 'tất_cả', 'mọi', 'người', 'thay_vì', 'để', 'rớt', 'rất', 'nhiều', 'người']",thầy nên có cách dạy mới cho môn học này để được kết quả tốt cho tất cả mọi người thay vì để rớt rất nhiều người !
positive,"['vui_vẻ', 'biết', 'lắng_nghe', 'ý_kiến', 'sinh_viên']","vui vẻ , biết lắng nghe ý kiến sinh viên ."
negative,"['lịch', 'thi', 'thực_hành', 'cần', 'được', 'thông_báo', 'sớm', 'tới', 'sinh_viên', 'và', 'phù_hợp', 'với', 'thời_gian', 'môn_học']",lịch thi thực hành cần được thông báo sớm tới sinh viên và phù hợp với thời gian môn học .
positive,"['cô', 'wzjwz183', 'dạy', 'rất', 'tận_tình', 'dễ', 'hiểu', 'truyền_đạt', 'tốt']","cô wzjwz183 dạy rất tận tình , dễ hiểu , truyền đạt tốt ."
negative,"['cô', 'nên', 'giảng', 'kỹ', 'và', 'chi_tiết', 'từng', 'bài', 'vì', 'nhiều', 'bài', 'đa_số', 'các', 'bạn', 'chưa', 'hiểu', 'thì', 'cô', 'lại', 'giảng', 'nhanh', 'để', 'chuyển', 'qua', 'bài', 'khác']",cô nên giảng kỹ và chi tiết từng bài vì nhiều bài đa số các bạn chưa hiểu thì cô lại giảng nhanh để chuyển qua bài khác .
positive,"['giảng', 'bài', 'hay']",giảng bài hay .
negative,"['nếu', 'em', 'buồn_ngủ', 'dù', 'lên_lớp', 'em', 'vẫn', 'sẽ', 'ngủ', 'mà', 'ngủ', 'ở', 'trên', 'lớp', 'thì', 'đau', 'lưng', 'và', 'tê', 'chân', 'lắm']","nếu em buồn ngủ , dù lên lớp em vẫn sẽ ngủ , mà ngủ ở trên lớp thì đau lưng và tê chân lắm ."
positive,"['em', 'rất', 'hài_lòng', 'về', 'hoạt_động', 'dạy', 'của', 'thầy']",em rất hài lòng về hoạt động dạy của thầy .
negative,"['thiếu', 'kinh_nghiệm', 'truyền_đạt']",thiếu kinh nghiệm truyền đạt .
positive,"['hướng_dẫn', 'cụ_thể', 'dễ', 'hiểu']","hướng dẫn cụ thể , dễ hiểu ."
negative,"['em', 'nghĩ', 'nội_dung', 'thực_hành', 'nên', 'gần', 'với', 'đồ_án', 'hơn']",em nghĩ nội dung thực hành nên gần với đồ án hơn .
positive,"['cô', 'quá', 'tuyệt_vời', 'rất', 'nhiệt_tình', 'dễ', 'hiểu', 'lại', 'dễ_thương', 'nữa']","cô quá tuyệt vời , rất nhiệt tình , dễ hiểu , lại dễ thương nữa ."
negative,"['ít', 'chú_trọng', 'phần', 'ngữ_pháp']",ít chú trọng phần ngữ pháp .
positive,"['thầy', 'dạy', 'tận_tâm', 'dễ', 'hiểu']","thầy dạy tận tâm , dễ hiểu ."
negative,"['giảng_viên', 'còn', 'chưa', 'tận_tâm', 'phong_cách', 'giảng_dạy', 'chưa', 'thu_hút', 'được', 'sinh_viên']","giảng viên còn chưa tận tâm , phong cách giảng dạy chưa thu hút được sinh viên ."
positive,"['cho', 'làm', 'các', 'bài', 'kiểm_tra', 'cuối', 'giờ', 'giúp', 'chúng', 'em', 'phải', 'tập_trung', 'nghe', 'bài']","cho làm các bài kiểm tra cuối giờ , giúp chúng em phải tập trung nghe bài ."
negative,"['cô', 'chưa', 'nắm_bắt', 'được', 'thực_trạng', 'học', 'của', 'sinh_viên']",cô chưa nắm bắt được thực trạng học của sinh viên .
positive,"['luôn', 'tạo', 'được', 'sự', 'hứng_thú', 'và', 'động_lực_học', 'cho', 'sinh_viên']",luôn tạo được sự hứng thú và động lực học cho sinh viên .
negative,"['ảnh_hưởng', 'đến', 'tiến_độ', 'học_tập', 'và', 'quỹ', 'thời_gian', 'của', 'sinh_viên', '(', 'do', 'học', 'bù', ')']",ảnh hưởng đến tiến độ học tập và quỹ thời gian của sinh viên ( do học bù ) .
positive,"['thầy', 'nhiệt_tình', 'tâm_huyết', 'thường_xuyên', 'cho', 'bài_tập', 'để', 'sinh_viên', 'làm']","thầy nhiệt tình , tâm huyết , thường xuyên cho bài tập để sinh viên làm ."
negative,"['nên', 'có', 'giáo_trình', 'thống_nhất', 'cho', 'tất_cả', 'các', 'lớp', 'và', 'học_kỳ', 'học']",nên có giáo trình thống nhất cho tất cả các lớp và học kỳ học .
positive,"['thầy', 'luôn', 'tận_tâm', 'với', 'sinh_viên']",thầy luôn tận tâm với sinh viên .
negative,"['em', 'nghĩ', 'cần', 'có', 'các', 'bài_tập', 'lớn', 'để', 'nâng', 'cao', 'khả_năng', 'lập_trình', 'của', 'các', 'sinh_viên']",em nghĩ cần có các bài tập lớn để nâng cao khả năng lập trình của các sinh viên .
positive,"['nhẹ_nhàng', 'thân_thiện', 'colonsmile']","nhẹ nhàng , thân thiện colonsmile ."
negative,"['dạy', 'lý_thuyết', 'hơi_nhiều']",dạy lý thuyết hơi nhiều .
positive,"['cô', 'dạy', 'rất', 'nhiệt_tình']",cô dạy rất nhiệt tình .
negative,"['thời_lượng', 'môn_học', 'quá', 'dài', 'sinh_viên', 'cảm_thấy', 'mệt_mỏi']","thời lượng môn học quá dài , sinh viên cảm thấy mệt mỏi ."
positive,"['giảng_viên', 'giảng', 'rất', 'hay']",giảng viên giảng rất hay .
negative,"['thầy', 'cho', 'điểm', 'phần_nào', 'còn', 'theo', 'cảm_tính', 'chưa_được', 'công_bằng']","thầy cho điểm phần nào còn theo cảm tính , chưa được công bằng ."
positive,"['sửa', 'bài_tập', 'khó', 'giảng_viên', 'nhiệt_tình']","sửa bài tập khó , giảng viên nhiệt tình ."
negative,"['mỗi', 'tháng', 'chỉ', 'gặp', 'giảng_viên', 'một', 'lần', 'rất', 'khó', 'cho', 'việc', 'học_hỏi', 'hướng_dẫn', 'từ', 'giáo_viên']","mỗi tháng chỉ gặp giảng viên một lần rất khó cho việc học hỏi , hướng dẫn từ giáo viên ."
positive,"['cô', 'nói', 'tiếng', 'anh', 'rất', 'lưu_loát', 'nhiệt_tình', 'và', 'tận_tâm']","cô nói tiếng anh rất lưu loát , nhiệt tình và tận tâm ."
negative,"['thầy', 'nên', 'chuẩn_bị', 'riêng', 'một', 'slide', 'cho', 'mình', 'để', 'giảng_dạy', 'không', 'nên', 'lấy', 'slide', 'của', 'người', 'khác', 'rồi', 'đến', 'khi', 'sơ', 'sót', 'thầy', 'lại', 'lấy', 'cái', 'lý_do', '""', 'đây', 'không', 'là', 'slide', 'của', 'tôi', '""', '""', 'cái', 'này', 'tôi', 'cũng', 'không', 'rõ', 'nữa', '""']","thầy nên chuẩn bị riêng một slide cho mình để giảng dạy , không nên lấy slide của người khác rồi đến khi sơ sót , thầy lại lấy cái lý do "" đây không là slide của tôi "" , "" cái này tôi cũng không rõ nữa "" ."
positive,"['thầy', 'truyền_đạt', 'tốt', 'tận_tình']","thầy truyền đạt tốt , tận tình ."
negative,"['thầy', 'cho', 'làm', 'các', 'bài_tập', 'tại', 'lớp', 'trong', 'khi', 'sinh_viên', 'chưa_biết', 'gì', 'về', 'vấn_đề', 'đó']",thầy cho làm các bài tập tại lớp trong khi sinh viên chưa biết gì về vấn đề đó .
positive,"['phương_pháp', 'dạy', 'dễ', 'hiểu', 'cách', 'tiếp_cận', 'đơn_giản', 'và', 'hấp_dẫn']","phương pháp dạy dễ hiểu , cách tiếp cận đơn giản và hấp dẫn ."
negative,"['đôi_khi', 'đi', 'quá', 'sâu', 'vào', 'một', 'vấn_đề', 'bên', 'lề']",đôi khi đi quá sâu vào một vấn đề bên lề .
positive,"['giảng_viên', 'rất', 'rất', 'nhiệt_tình']",giảng viên rất rất nhiệt tình .
negative,"['nói_chuyện', 'lan_man', 'không', 'liên_quan', 'đến', 'môn_học', 'quá', 'nhiều']","nói chuyện lan man , không liên quan đến môn học quá nhiều ."
positive,"['mặt_khác', 'rất', 'thân_thiện', 'với', 'sinh_viên', 'tạo', 'thiện_cảm', 'tốt_đẹp', 'nên', 'sinh_viên', 'tự_khắc', 'đi', 'học', 'đầy_đủ', 'mà', 'không', 'cần', 'phương_pháp', 'điểm_danh', 'ép_buộc', 'cổ_hủ']","mặt khác rất thân thiện với sinh viên , tạo thiện cảm tốt đẹp nên sinh viên tự khắc đi học đầy đủ mà không cần phương pháp điểm danh ép buộc cổ hủ ."
negative,"['phân_bổ', 'hợp_lý', 'thời_gian', 'học', 'và', 'nên', 'cho', 'xem', 'nhiều', 'video', 'hơn', 'là', 'nghe']",phân bổ hợp lý thời gian học và nên cho xem nhiều video hơn là nghe .
positive,"['có', 'tương_tác', 'với', 'sinh_viên', 'thường_xuyên', 'cho', 'lên', 'bảng', 'làm', 'bài']","có tương tác với sinh viên , thường xuyên cho lên bảng làm bài ."
negative,"['thầy', 'bận', 'nhiều', 'nên', 'cũng', 'nghỉ', 'nhiều', 'hi_vọng', 'thầy', 'có_thể', 'sắp_xếp', 'thời_gian']","thầy bận nhiều nên cũng nghỉ nhiều , hi vọng thầy có thể sắp xếp thời gian ."
positive,"['nâng', 'cao_kiến_thức']",nâng cao kiến thức .
negative,['chán'],chán .
positive,"['giảng_viên', 'truyền_đạt', 'rất_tốt']",giảng viên truyền đạt rất tốt .
negative,"['dạy', 'quá', 'chậm', 'quá', 'cặn_kẽ']","dạy quá chậm , quá cặn kẽ ."
positive,"['tâm_huyết', 'với', 'sinh_viên']",tâm huyết với sinh viên .
negative,"['thầy', 'wzjwz174', 'ít', 'cho', 'bài_tập', 'về', 'nhà']",thầy wzjwz174 ít cho bài tập về nhà .
positive,"['thầy', 'giảng', 'rất', 'có', 'tâm', 'truyền_đạt', 'kiến_thức', 'thực_tế', 'dễ', 'hiểu', 'và', 'thuyết_phục']","thầy giảng rất có tâm , truyền đạt kiến thức thực tế , dễ hiểu và thuyết phục ."
negative,"['thầy', 'đôi_khi', 'nói', 'hơi', 'khó_hiểu']",thầy đôi khi nói hơi khó hiểu .
positive,"['cô', 'wzjwz188', 'dạy', 'hay']",cô wzjwz188 dạy hay .
negative,"['nên', 'đi_sâu', 'vào', 'vấn_đề', 'giúp', 'sinh_viên', 'hiểu', 'tốt', 'môn_học', 'và', 'nên', 'có', 'những', 'ứng_dụng_cụ_thể', 'mà', 'môn_học', 'đem', 'lại']","nên đi sâu vào vấn đề , giúp sinh viên hiểu tốt môn học , và nên có những ứng dụng cụ thể mà môn học đem lại ."
positive,"['giảng_viên', 'dạy', 'rất', 'tận_tâm', 'nhiệt_tình', 'và', 'gần_gũi', 'với', 'sinh_viên']","giảng viên dạy rất tận tâm , nhiệt tình và gần gũi với sinh viên ."
negative,"['cứ', 'ngỡ', 'được', '10_điểm', 'là', 'chắc_chắn', 'rồi']",cứ ngỡ được 10 điểm là chắc chắn rồi .
positive,"['giảng_viên', 'tận_tâm', 'nhiệt_tình', 'truyền_đạt', 'nhiều', 'kinh_nghiệm']","giảng viên tận tâm nhiệt tình , truyền đạt nhiều kinh nghiệm ."
negative,"['thầy', 'yêu_cầu', 'quá', 'cao', 'đối_với', 'một', 'sinh_viên', 'có_thể', 'tiếp_thu', 'mọi', 'kỹ_năng', 'cần', 'truyền_đạt', 'vào', 'một', 'đồ_án']",thầy yêu cầu quá cao đối với một sinh viên có thể tiếp thu mọi kỹ năng cần truyền đạt vào một đồ án .
positive,"['cô', 'luôn', 'tận_tâm', 'nhiệt_tình', 'dạy', 'sinh_viên']",cô luôn tận tâm nhiệt tình dạy sinh viên .
negative,"['thêm', 'phòng', 'thiết_bị', 'để', 'thực_hành']",thêm phòng thiết bị để thực hành .
positive,"['thầy', 'có', 'năng_lực', 'tốt', 'và', 'kiến_thức', 'thực_hành', 'xuất_sắc', 'nhiệt_tình', 'giải_đáp', 'thắc_mắc', 'của', 'sinh_viên']","thầy có năng lực tốt và kiến thức thực hành xuất sắc , nhiệt tình giải đáp thắc mắc của sinh viên ."
negative,"['slide', 'quá', 'khó_hiểu', 'nhiều', 'chỗ', 'không', 'giải_thích', 'rõ_ràng', 'đặc_biệt', 'là', 'các', 'bài', 'hướng_dẫn', 'thực_hành']","slide quá khó hiểu , nhiều chỗ không giải thích rõ ràng , đặc biệt là các bài hướng dẫn thực hành ."
positive,"['cô', 'rất', 'tận_tình', 'trong', 'việc', 'củng_cố', 'kiến_thức']",cô rất tận tình trong việc củng cố kiến thức .
negative,"['phòng', 'học', 'cần', 'lắp', 'thêm', 'quạt', 'và', 'ổ_cắm', 'vì', 'sinh_viên', 'phải', 'sử_dụng', 'laptop', 'để', 'làm', 'bài_tập', 'cần', 'có', 'thêm', 'màn', 'che', 'cửa_sổ', 'để', 'có_thể', 'theo_dõi', 'bài', 'giảng', 'trên', 'slide', 'tốt', 'hơn']","phòng học cần lắp thêm quạt và ổ cắm vì sinh viên phải sử dụng laptop để làm bài tập , cần có thêm màn che cửa sổ để có thể theo dõi bài giảng trên slide tốt hơn ."
positive,"['thầy', 'trẻ', 'và', 'nhiệt_tình']",thầy trẻ và nhiệt tình .
negative,"['bài_tập', 'không', 'cho', 'ví_dụ', 'về', 'nhà', 'để', 'xem_lại']",bài tập không cho ví dụ về nhà để xem lại .
positive,"['giáo_viên', 'truyền_đạt', 'kiến_thức', 'dễ', 'hiểu']",giáo viên truyền đạt kiến thức dễ hiểu .
negative,"['giảng_viên', 'thiếu', 'rất', 'nhiều', 'hoạt_động', 'để', 'việc', 'học', 'bớt', 'nhàm_chán', 'khi', 'quá', 'bám_sát', 'bài_học']",giảng viên thiếu rất nhiều hoạt động để việc học bớt nhàm chán khi quá bám sát bài học .
positive,"['em', 'học', 'được', 'nhiều', 'thứ', 'từ', 'môn', 'này', 'ạ', 'colonlove']",em học được nhiều thứ từ môn này ạ colonlove .
negative,"['micro', 'và', 'các', 'thiết_bị', 'âm_thanh', 'máy_chiếu', 'cần', 'nâng_cấp']","micro và các thiết bị âm thanh , máy chiếu cần nâng cấp ."
positive,"['giảng_viên', 'dạy', 'rất', 'cụ_thể', 'rõ_ràng', 'chi_tiết']","giảng viên dạy rất cụ thể , rõ ràng , chi tiết ."
negative,"['chất_lượng', 'phòng', 'máy', 'rất', 'tệ']",chất lượng phòng máy rất tệ .
positive,"['giảng_viên', 'giảng_dạy', 'hay', 'dễ', 'hiểu', 'gần_gũi', 'sinh_viên']","giảng viên giảng dạy hay , dễ hiểu , gần gũi sinh viên ."
negative,"['chờ', 'học_sinh', 'gửi', 'email', 'mới', 'show', 'được', 'slide', 'to', 'lên', 'giảng', 'cho', 'qua_loa', 'không', 'hỏi', 'học_sinh', 'có', 'hiểu', 'gì', 'hay', 'không', '?']","chờ học sinh gửi email mới show được slide to lên , giảng cho qua loa không hỏi học sinh có hiểu gì hay không ?"
positive,"['giáo_viên', 'rất', 'nhiệt_tình', 'tận_tâm', 'hướng_dẫn']","giáo viên rất nhiệt tình , tận tâm hướng dẫn ."
negative,"['không', 'hiểu', 'cách', 'chấm', 'bài', 'thi', 'của', 'thầy']",không hiểu cách chấm bài thi của thầy .
positive,"['cô', 'dạy', 'rất', 'hay', 'và', 'có', 'nhiều', 'bài_tập', 'giúp', 'học_sinh', 'chủ_động', 'học_tập']",cô dạy rất hay và có nhiều bài tập giúp học sinh chủ động học tập .
negative,"['tiết', 'học', 'chưa_được', 'thu_hút']",tiết học chưa được thu hút .
positive,"['giảng_viên', 'đại_học', 'có', 'tâm', 'nhất', 'colonsmilesmile']",giảng viên đại học có tâm nhất colonsmilesmile .
negative,"['giảng_viên', 'nên', 'thay_đổi', 'phương_pháp', 'giảng_dạy', 'để', 'tương_tác', 'nhiều', 'hơn', 'với', 'sinh_viên']",giảng viên nên thay đổi phương pháp giảng dạy để tương tác nhiều hơn với sinh viên .
positive,"['thầy', 'dạy', 'nhiệt_tình', 'tận_tâm']","thầy dạy nhiệt tình , tận tâm !"
negative,"['cần', 'vào', 'thẳng', 'nội_dung']",cần vào thẳng nội dung .
positive,"['em', 'rất', 'hài_lòng', 'với', 'môn_học', 'này']",em rất hài lòng với môn học này .
negative,"['thầy', 'quá', 'bảo_thủ', 'thầy', 'luôn', 'cho', 'rằng', 'ý_kiến', 'của', 'thầy', 'là', 'đúng', 'nhất', 'ngoài_ra', 'mọi', 'ý_kiến', 'khác', 'đều', 'sai']","thầy quá bảo thủ , thầy luôn cho rằng ý kiến của thầy là đúng nhất , ngoài ra mọi ý kiến khác đều sai ."
positive,"['thầy', 'dạy', 'vui']",thầy dạy vui .
negative,"['cần', 'giải', 'bài_tập', 'nhiều', 'hơn']",cần giải bài tập nhiều hơn .
positive,"['cách', 'mà', 'thầy', 'giảng', 'bài', 'khiến', 'cho', 'sinh_viên', 'không', 'thấy', 'chán', 'trong', 'giờ', 'học']",cách mà thầy giảng bài khiến cho sinh viên không thấy chán trong giờ học !
negative,"['cô', 'cũng', 'không', 'cung_cấp', 'hay', 'giải_thích', 'gì', 'đáp_án', 'của', 'bài', 'thi']",cô cũng không cung cấp hay giải thích gì đáp án của bài thi .
positive,"['đáng', 'để', 'học_hỏi']",đáng để học hỏi !
negative,"['kiến_thức', 'giảng_dạy', 'môn', 'tiếng', 'anh', 'hầu_như', 'không', 'giúp_ích', 'nhiều', 'cho', 'sinh_viên', 'trong', 'việc', 'tìm_hiểu', 'các', 'tài_liệu', 'chuyên_ngành']",kiến thức giảng dạy môn tiếng anh hầu như không giúp ích nhiều cho sinh viên trong việc tìm hiểu các tài liệu chuyên ngành .
positive,"['nhiệt_tình', 'dễ', 'hiểu', 'dễ_thương']","nhiệt tình , dễ hiểu , dễ thương ."
negative,"['cách', 'tìm_kiếm', 'chúng', 'ở', 'đâu', 'khai_thác', 'chúng', 'ở', 'đâu', 'chứ', 'không', 'phải', 'là', 'phải', 'nhớ', 'mấy', 'cái', 'phương_thức', 'hay', 'các', 'hàm', 'rồi', 'viết', 'lên', 'giấy', 'vào_đề', 'thi', 'cuối', 'kỳ']","cách tìm kiếm chúng ở đâu , khai thác chúng ở đâu chứ không phải là phải nhớ mấy cái phương thức hay các hàm rồi viết lên giấy vào đề thi cuối kỳ ."
positive,"['giảng_viên', 'tận_tâm', 'nhiệt_tình', 'tạo', 'cảm_giác', 'gần_gũi', 'không_khí', 'thoải_mái', 'giúp', 'sinh_viên', 'tiếp_thu', 'bài', 'tốt']","giảng viên tận tâm , nhiệt tình , tạo cảm giác gần gũi , không khí thoải mái , giúp sinh viên tiếp thu bài tốt ."
negative,"['giảng', 'hơi', 'nhanh', 'chưa', 'kỹ', 'lắm']","giảng hơi nhanh , chưa kỹ lắm ."
positive,"['những', 'tiết', 'thực_hành', 'rất', 'bổ_ích', 'ạ']",những tiết thực hành rất bổ ích ạ .
negative,"['những', 'phần', 'trọng_tâm', 'bài_tập', 'thì', 'cũng', 'không', 'nói', 'được', '""', 'đây', 'là', 'phần', 'quan_trọng', 'có', 'trong', 'đề', 'thi', 'các', 'em', 'cần', 'chú_ý', '""']","những phần trọng tâm bài tập thì cũng không nói được "" đây là phần quan trọng có trong đề thi các em cần chú ý "" ."
positive,"['cô', 'dễ_thương', 'dạy', 'hay', 'hài_hước']","cô dễ thương dạy hay , hài hước ."
negative,"['sử_dụng', 'phần_mềm', 'crack']",sử dụng phần mềm crack .
positive,"['thầy', 'tình_cảm', 'và', 'tận_tâm']",thầy tình cảm và tận tâm !
negative,"['nhiều', 'khi', 'dạy', 'quá', 'thời_gian']",nhiều khi dạy quá thời gian .
positive,"['cô', 'nhiệt_tình', 'dạy', 'có', 'tâm']","cô nhiệt tình , dạy có tâm ."
negative,"['tuy', 'dạy', 'chậm', 'giúp', 'học_sinh', 'dễ', 'hiểu', 'tuy_nhiên', 'nhiều', 'bài', 'khó', 'thì', 'sẽ', 'khiến', 'sinh_viên', 'dễ', 'chán']",tuy dạy chậm giúp học sinh dễ hiêu tuy nhiên nhiều bài khó thì sẽ khiến sinh viên dễ chán .
positive,"['thầy', 'vui_tính', 'truyền_đạt', 'kiến_thức', 'dễ', 'hiểu']","thầy vui tính , truyền đạt kiến thức dễ hiểu ."
negative,"['có', 'các', 'phần', 'ôn_tập', 'không', 'liên', 'tới', 'bài', 'kiểm_tra']",có các phần ôn tập không liên tới bài kiểm tra .
positive,"['thầy', 'có', 'nhiệt_huyết', 'tuổi_trẻ']",thầy có nhiệt huyết tuổi trẻ .
negative,"['không', 'nên', 'tổ_chức', 'thực_hành', 'hình_thức', '2']",không nên tổ chức thực hành hình thức 2 .
positive,"['giảng_viên', 'tâm_huyết', 'nhiệt_tình']","giảng viên tâm huyết , nhiệt tình ."
negative,"['giảng_viên', 'cần', 'nắm', 'vững', 'xem', 'sinh_viên', 'có', 'hiểu', 'được', 'bài', 'hay', 'không', 'và', 'đưa', 'ra', 'phương_án', 'để', 'sinh_viên', 'nắm', 'vững', 'kiến_thức']",giảng viên cần nắm vững xem sinh viên có hiểu được bài hay không và đưa ra phương án để sinh viên nắm vững kiến thức .
positive,"['giảng_viên', 'năng_nổ', 'hoạt_bát', 'dễ', 'gần']","giảng viên năng nổ , hoạt bát , dễ gần ."
negative,"['âm_thanh', 'thầy', 'giảng', 'hơi_nhỏ', 'khó_khăn', 'trong', 'việc', 'nghe', 'giảng']","âm thanh thầy giảng hơi nhỏ , khó khăn trong việc nghe giảng ."
positive,"['lớp_học', 'sôi_động']",lớp học sôi động .
negative,"['nên', 'thay_đổi', 'hình_thức', 'khảo_sát', 'với', 'môn_học', 'này', 'thì', 'môn_học', 'này', 'không', 'có', 'lên_lớp', 'và', 'chỉ_có', 'đến', 'hạn', 'thì', 'báo_cáo', 'với', 'giảng_viên']",nên thay đổi hình thức khảo sát với môn học này thì môn học này không có lên lớp và chỉ có đến hạn thì báo cáo với giảng viên .
positive,"['đến', 'lớp', 'đúng', 'giờ']",đến lớp đúng giờ !
negative,"['sinh_viên', 'hỏi', 'nhận', 'câu', 'trả_lời', 'cũng', 'như_không', 'hỏi']","sinh viên hỏi , nhận câu trả lời cũng như không hỏi ."
positive,"['cô', 'dạy', 'nhiệt_tình', 'tận_tâm', 'kiên_nhẫn', 'với', 'sinh_viên', 'và', 'với', 'nghề']","cô dạy nhiệt tình , tận tâm , kiên nhẫn với sinh viên và với nghề ."
negative,"['em', 'nghĩ', 'chỉ', 'nên', 'bắt_buộc', 'các', 'bài_tập', 'có', 'dạng', 'căn_bản', 'còn', 'bài_tập', 'tương_tự', 'thì', 'chỉ', 'khuyến_khích', 'sinh_viên', 'làm', 'thêm']","em nghĩ chỉ nên bắt buộc các bài tập có dạng căn bản , còn bài tập tương tự thì chỉ khuyến khích sinh viên làm thêm ."
positive,"['bài_tập', 'thực_hành', 'giúp', 'sinh_viên', 'nâng', 'cao', 'mạnh', 'kỹ_năng', 'lập_trình']",bài tập thực hành giúp sinh viên nâng cao mạnh kỹ năng lập trình .
negative,"['không', 'thống_nhất', 'trước', 'về', 'hình_thức', 'thi', 'và', 'làm', 'bài_tập', 'đến', 'những', 'tuần', 'cuối_cùng', 'mới', 'công_bố']","không thống nhất trước về hình thức thi và làm bài tập , đến những tuần cuối cùng mới công bố ."
positive,"['giảng_viên', 'dạy', 'bài', 'dễ', 'hiểu']",giảng viên dạy bài dễ hiểu .
negative,"['nhằm', 'giảm', 'thời_lượng', 'giảng_dạy', 'cũng', 'như', 'sự', 'thú_vị', 'khi', 'học', 'môn', 'toán']",nhằm giảm thời lượng giảng dạy cũng như sự thú vị khi học môn toán .
positive,"['thầy', 'day', 'dễ', 'hiểu', 'dễ', 'nắm_bắt', 'được', 'kiến_thức', 'không', 'dạy', 'lan_man']","thầy day dễ hiểu , dễ nắm bắt được kiến thức , không dạy lan man ."
negative,"['em', 'mong', 'cô', 'cũng', 'như', 'toàn_thể', 'các', 'giảng_viên', 'hãy', 'xem_xét_lại', 'việc', 'điểm_danh', 'vì', 'đại_học', 'dù_sao', 'cũng', 'là', 'tự_học', 'chứ', 'không', 'phải', 'như', 'là', 'phổ_thông', 'nữa']",em mong cô cũng như toàn thể các giảng viên hãy xem xét lại việc điểm danh vì đại học dù sao cũng là tự học chứ không phải như là phổ thông nữa .
positive,"['cách', 'dạy', 'của', 'thầy', 'rất', 'có', 'vấn_đề']",cách dạy của thầy rất có vấn đề .
negative,"['chú_ý', 'giữ', 'sức_khỏe', 'nhất', 'là', 'cổ_họng', 'colonsmile']","chú ý giữ sức khỏe , nhất là cổ họng colonsmile ."
positive,"['cô', 'tận_tình', 'giảng_dạy']",cô tận tình giảng dạy .
negative,"['máy', 'ở', 'phòng', 'thực_hành', 'quá', 'tệ']",máy ở phòng thực hành quá tệ .
positive,"['giảng_viên', 'nói_chuyện', 'dễ', 'nghe', 'gần_gũi', 'với', 'sinh_viên']","giảng viên nói chuyện dễ nghe , gần gũi với sinh viên ."
negative,"['giảng_viên', 'nên', 'đến', 'đúng', 'giờ', 'hơn', 'và', 'cho', 'nhiều', 'bài_tập', 'hơn']",giảng viên nên đến đúng giờ hơn và cho nhiều bài tập hơn .
positive,"['giảng_viên', 'giảng_dạy', 'dễ', 'hiểu', 'giúp_đỡ', 'sinh_viên', 'nhiệt_tình']","giảng viên giảng dạy dễ hiểu , giúp đỡ sinh viên nhiệt tình ."
negative,"['em', 'thấy', 'những', 'nội_dung', 'như_vậy', 'rất', 'mơ_hồ', 'có', 'tính', 'áp_đặt', 'suy_nghĩ', 'cho', 'người', 'học']","em thấy những nội dung như vậy rất mơ hồ , có tính áp đặt suy nghĩ cho người học ."
positive,"['thầy', 'còn', 'chia_sẻ', 'truyền', 'lại', 'những', 'chiêu', 'mà', 'em', 'hiếm', 'được', 'thấy', '(', 'thầy', 'rất', 'là', 'pro', ')']","thầy còn chia sẻ , truyền lại những chiêu mà em hiếm được thấy ( thầy rất là pro ) ."
negative,"['cần', 'nâng_cấp', 'máy_tính', 'trong', 'phòng', 'thực_hành', 'nhiều', 'kit', 'de2', 'bị', 'lỗi', 'cần', 'sửa_chữa', 'hoặc', 'thay', 'mới']","cần nâng cấp máy tính trong phòng thực hành , nhiều kit de2 bị lỗi cần sửa chữa hoặc thay mới ."
positive,"['giảng_viên', 'nhiệt_tình', 'chịu_khó', 'giúp_đỡ', 'sinh_viên']","giảng viên nhiệt tình , chịu khó giúp đỡ sinh viên ."
negative,"['em', 'thấy', 'môn', 'này', 'nhiều', 'lý_thuyết', 'không', 'đáp_ứng', 'đủ', 'trong', 'việc_làm', 'đồ_án']",em thấy môn này nhiều lý thuyết không đáp ứng đủ trong việc làm đồ án .
positive,"['khả_năng', 'truyền_đạt', 'tốt', 'và', 'định_hướng', 'nghề_nghiệp']",khả năng truyền đạt tốt và định hướng nghề nghiệp .
negative,"['phương_pháp', 'dạy', 'chưa', 'hay']",phương pháp dạy chưa hay .
positive,"['giảng_viên', 'xinh_đẹp', 'dạy', 'tốt']",giảng viên xinh đẹp dạy tốt .
negative,"['hay', 'bị', 'về', 'trễ', 'colonsad']",hay bị về trễ colonsad .
positive,"['thầy', 'dạy', 'hay', 'có', 'sức', 'cuốn_hút']","thầy dạy hay , có sức cuốn hút ."
negative,"['cần', 'dạy', 'chi_tiết', 'hơn']",cần dạy chi tiết hơn .
positive,"['giảng_viên', 'tận_tâm', 'nhiệt_tình', 'trong', 'giải_quyết', 'mọi', 'thắc_mắc', 'của', 'sinh_viên']","giảng viên tận tâm , nhiệt tình trong giải quyết mọi thắc mắc của sinh viên ."
negative,"['đề', 'thi', 'thực_hành', 'cần', 'nêu', 'yêu_cầu', 'cụ_thể', 'rõ_ràng', 'hơn']","đề thi thực hành cần nêu yêu cầu cụ thể , rõ ràng hơn ."
