Score,pre_Sentiment,Sentiment,Tokens,Reviews
-1.0,negative,negative,"['nên', 'đăng', 'thực_hành', 'hằng', 'tuần', 'sinh_viên', 'tiện_dõi']",nên đăng lên điểm thực hành hằng tuần để sinh viên tiện theo dõi .
1.0,positive,positive,['tuyệt'],tuyệt .
-3.0,negative,negative,"['nên', 'sử_dụng', 'tiếng', 'việt', 'đa', 'không', 'giỏi', 'tiếng']",nên sử dụng tiếng việt vì đa phần không giỏi tiếng anh .
3.0,positive,positive,"['thầy', 'dạy', 'dễ', 'hiểu', 'hướng', 'tập', 'đủ']","thầy dạy dễ hiểu , hướng dẫn bài tập đầy đủ ."
-2.0,negative,negative,"['dạy', 'hơi', 'giảng', 'ít']",dạy nhiều nhưng hơi giảng ít .
2.0,positive,positive,"['thầy', 'dạy', 'hay', 'rất_tốt', 'sinh_viên']","thầy dạy rất hay , rất tốt với sinh viên ."
-3.0,negative,negative,"['lớp', 'không_thể', 'tiếp_thu', 'được', 'không', 'có', 'hứng_thú', 'giảng_dạy', 'thầy']","tuy lên lớp nhưng em không thể tiếp thu được , vì không có hứng thú với cách giảng dạy của thầy ."
-1.0,negative,positive,"['thầy', 'thời_gian', 'deadline', 'lâu', 'sinh_viên', 'thích']",thầy cho thời gian deadline lâu sinh viên rất thích .
-2.0,negative,negative,"['nên', 'có', 'ngoại', 'khóa']",nên có ngoại khóa .
2.0,positive,positive,"['thầy', 'chia_sẻ', 'viết', 'nghiên_cứu', 'khoa_học', 'sản_phẩm', 'ứng_dụng', 'thầy', 'thực_hiện']","thầy thường chia sẻ rất nhiều bài viết , nghiên cứu khoa học , và các sản phẩm ứng dụng mà thầy thực hiện ."
1.0,positive,negative,"['kiến_thức', 'môn', 'thích', 'bắt_đầu', 'lớp_học', 'không']",các kiến thức về môn này nói chung thì em rất thích nhưng khi bắt đầu lớp học thì không giống như em nghĩ .
2.0,positive,positive,"['dạy', 'tốt', 'dạy', 'hay']","dạy tốt , dạy hay ."
-7.0,negative,negative,"['chất', 'phòng', 'học', 'cần', 'được', 'cải_thiện', 'cần', 'cải_thiện', 'hệ_thống', 'điện_máy_chiếu', 'cần', 'được', 'cải_thiện']","chất lượng phòng học cần được cải thiện , cần cải thiện hệ thống điện , máy chiếu cần được cải thiện ."
4.0,positive,positive,"['ví_dụ', 'giáo_viên', 'tiết', 'học', 'giúp', 'sinh_viên', 'dễ', 'hiểu', 'được', 'học']",các ví dụ giáo viên đưa ra trong tiết học giúp sinh viên dễ hiểu được bài học .
-2.0,negative,negative,"['chỉ', 'hướng', 'sử_dụng', 'access', 'không', 'hướng', 'sử_dụng', 'database', 'sql']",chỉ hướng dẫn sử dụng access không hướng dẫn sử dụng database sql .
0.0,negative,positive,"['động_lực', 'học_sinh_học_tập']",tạo động lực cho học sinh học tập .
-1.0,negative,negative,"['thi', 'có', 'không', 'được', 'học', 'chương_trình', 'học', 'môn_học']",trong bài thi có phần không được học trong chương trình học của môn học .
2.0,positive,positive,"['thầy', 'dạy', 'nhiệt_tình', 'hay']",thầy dạy nhiệt tình và rất hay .
-4.0,negative,negative,"['chỉ', 'sơ_sài', 'bắt', 'sinh_viên', 'mò']",chỉ sơ sài rồi bắt sinh viên tự mò .
3.0,positive,positive,"['thầy', 'dạy', 'hay', 'nhiệt_tình', 'vui']","thầy dạy hay , nhiệt tình và vui tính ."
-5.0,negative,negative,"['giảng_viên', 'dạy', 'không', 'được', 'cuốn_hút', 'lắm', 'hơi', 'trầm']","giảng viên dạy không được cuốn hút lắm , hơi trầm ."
1.0,positive,positive,['vui'],và vui tính .
-4.0,negative,negative,"['giảng_viên', 'cung', 'tài_liệu', 'lại', 'không', 'có', 'hiệu_quả']",giảng viên cung cấp nhiều tài liệu nhưng lại không có hiệu quả .
3.0,positive,positive,"['thầy', 'dạy', 'rất_tốt', 'truyền_đạt', 'kiến_thức', 'đủ']","thầy dạy rất tốt , truyền đạt kiến thức đầy đủ ."
3.0,positive,negative,"['hy_vọng', 'thầy', 'có_thể', 'hướng', 'tốt', 'kỹ_năng', 'môn_học']",hy vọng thầy có thể hướng dẫn tốt hơn các kỹ năng của môn học .
2.0,positive,positive,"['giảng_viên', 'nhiệt_tình', 'tập', 'đa_dạng', 'hình_thức', 'hứng_thú', 'học']","giảng viên nhiệt tình , bài tập đa dạng , tạo nhiều hình thức hứng thú khi học ."
-2.0,negative,negative,"['nộp', 'deadline', 'bất']",nộp deadline bất chợt .
2.0,positive,positive,"['thầy', 'dạy', 'ràng', 'dễ', 'hiểu']","thầy dạy rất rõ ràng , dễ hiểu ."
-6.0,negative,negative,"['cần', 'dạy', 'lý_thuyết', 'phòng', 'máy', 'được', 'thử_nghiệm', 'học', 'học', 'lý_thuyết', 'suôn', 'rất_chán', 'không', 'tiếp_thu', 'được', 'thực_hành', 'hầu', 'không', 'liên_quan', 'lý_thuyết']","cần dạy lý thuyết trong phòng máy để đc thử nghiệm những gì vừa học ngay sau đó , vì học lý thuyết suôn rất chán , không tiếp thu được gì , thực hành thì hầu như không liên quan tới lý thuyết ."
2.0,positive,positive,"['dạy', 'tận_tâm', 'nhiệt_tình']","cô dạy rất tận tâm , nhiệt tình ."
0.0,negative,negative,"['chỗ', 'đọc', 'mãi', 'không_thể', 'hiểu']",nhiều chỗ đọc mãi vẫn không thể hiểu .
3.0,positive,positive,"['thầy', 'dạy', 'hiệu_quả', 'dễ', 'hiểu']","cách thầy dạy rất hiệu quả , dễ hiểu ."
-4.0,negative,negative,"['chấm', 'thuyết_trình', 'doubledot', 'giảng_viên', 'không', 'chấm', 'thuyết_trình', 'sinh_viên', 'thuyết_trình', 'chấm', 'cứ', 'làm_việc_riêng', 'có', 'không', 'biết', 'kia', 'trình_bày', 'hay', 'chưa']","về phần chấm bài thuyết trình doubledot giảng viên không chú ý chấm bài thuyết trình và xem sinh viên thuyết trình để chấm điểm mà cứ làm việc riêng khác , có khi không biết bạn kia trình bày rồi hay chưa ."
3.0,positive,positive,"['thầy', 'slide', 'textbo', 'ok', 'tập', 'nghiên_cứu', 'học_tập', 'đủ', 'sinh_viên']","thầy cho slide , textbook , bài tập để nghiên cứu và học tập rất đầy đủ cho sinh viên ."
1.0,positive,negative,"['dạy', 'giọng', 'buồn_ngủ', 'không', 'truyền_đạt', 'hết', 'được', 'kiến_thức']","cách dạy , giọng nói buồn ngủ , không truyền đạt hết được kiến thức ."
1.0,positive,positive,"['thầy', 'tận_tâm', 'dạy', 'hết', 'tất', 'thầy', 'có']","thầy tận tâm , dạy hết tất cả mọi thứ mà thầy có ."
-2.0,negative,negative,"['cần', 'có', 'ví_dụ']",cần có nhiều ví dụ .
2.0,positive,positive,"['nhiệt_tình', 'giải_đáp', 'thắc_mắc', 'sinh_viên']",nhiệt tình giải đáp thắc mắc của sinh viên .
0.0,negative,negative,"['cần', 'đề', 'thi', 'sinh_viên', 'có', 'ôn_luyện', 'quen', 'cấu_trúc', 'đề', 'thi']","cần nhiều đề thi để sinh viên có thế ôn luyện , làm quen với cấu trúc đề thi !"
6.0,positive,positive,"['giảng_viên', 'dạy', 'nhiệt_tình', 'giải_đáp', 'cặn_kẽ', 'thắc_mắc', 'sinh_viên', 'bám_sát', 'tích_cực', 'hỗ_trợ', 'sinh_viên', 'khó_khăn', 'trình', 'hoàn_thành', 'đồ_án', 'môn_học']","giảng viên dạy nhiệt tình , giải đáp cặn kẽ các thắc mắc của sinh viên , luôn bám sát và tích cực hỗ trợ sinh viên khi gặp khó khăn trong quá trình hoàn thành đồ án môn học ."
1.0,positive,negative,"['có_lẽ', 'thầy', 'giảng', 'chỉ', 'phù_hợp', 'học', 'có', 'trình_độ', 'thạc_sĩ', 'tiến_sĩ', 'trở']","có lẽ thầy giảng như thế thì chỉ phù hợp với người học có trình độ thạc sĩ , tiến sĩ trở lên thôi ."
3.0,positive,positive,"['có_thể', 'trao_đổi', 'thắc_mắc', 'thầy', 'thoải_mái', 'không', 'gây', 'áp_lực']","có thể trao đổi thắc mắc với thầy một cách thoải mái , không gây áp lực ."
1.0,positive,negative,"['mong', 'trường', 'lại', 'thi', 'thi', 'đầu', 'môn', 'văn', 'trường']",em mong nhà trường xem lại bài thi thi đầu vào môn anh văn của nhà trường .
1.0,positive,positive,"['giáo_viên', 'nhiệt_huyết']",giáo viên rất nhiệt huyết .
2.0,positive,negative,"['sinh_viên', 'phải', 'đồ_án', 'môn_học_vấn_đề', 'phải', 'chờ', '3', 'tuần', 'được', 'giảng_viên', 'giải_đáp', 'sinh_viên', 'không_thể', 'hoàn_thành', 'đúng', 'tiến_độ']","trong khi đó sinh viên phải làm đồ án môn học , mọi vấn đề gặp phải nếu chờ 3 tuần để được gặp giảng viên giải đáp thì sinh viên không thể hoàn thành đúng tiến độ ."
2.0,positive,positive,"['chủ_quan', 'cá_nhân', 'wzjwz248', 'truyền_đạt', 'kiến_thức', 'tốt', 'giảng_viên', 'biết']",theo chủ quan của cá nhân tôi cô wzjwz248 là người truyền đạt kiến thức tốt nhất từ trước tới giờ so với những giảng viên mà tôi từng biết .
0.0,negative,negative,"['tập', 'thầy', 'lớp', 'hơi', 'khó', 'giúp', 'rèn_luyện', 'tư', 'thuật_toán']","bài tập thầy đưa ra cho lớp hơi khó , nhưng quá đó giúp chúng em rèn luyện tư duy thuật toán ."
3.0,positive,positive,"['giảng_dạy', 'nhiệt_tình', 'dễ', 'hiểu']",cô giảng dạy nhiệt tình và dễ hiểu .
-1.0,negative,negative,"['hy_vọng', 'không', 'phải', 'sinh_viên', 'đầu_tiên', 'phản_ánh', 'vấn_đề']",hy vọng đây không phải là sinh viên đầu tiên phản ánh vấn đề này .
5.0,positive,positive,"['thầy', 'giảng', 'nhiệt_tình', 'dễ', 'hiểu', 'hoạt_động', '_', 'đáp', 'giúp', 'tăng', 'khả_năng', 'xử_lý', 'tình_huống', 'sáng', 'sinh_viên']","thầy giảng nhiệt tình , dễ hiểu , luôn tạo ra các hoạt động hỏi - đáp để giúp tăng khả năng xử lý tình huống , sự sáng tạo của sinh viên ."
1.0,positive,negative,"['phân_bổ', 'lịch', 'thực_hành', 'hợp_lý']",phân bổ lịch thực hành cho hợp lý .
5.0,positive,positive,"['thầy', 'dạy', 'tốt', 'dạy', 'kiến_thức', 'chuyên', 'nghành', 'sinh_viên', 'thầy', 'kỹ_năng', 'đọc', 'papers', 'công', 'công_nghệ', 'mới']","thầy dạy tốt , ngoài việc dạy những kiến thức chuyên nghành cho sinh viên thầy còn nói về các kỹ năng khác như cách đọc papers , công việc , công nghệ mới ."
1.0,positive,negative,"['cập_nhật', 'thêm', 'cấu_trúc', 'lập_trình', 'mới']",cập nhật thêm những cấu trúc lập trình mới !
3.0,positive,positive,"['thực_hành', 'hay', 'thực_tế', 'khả_năng', 'vận_dụng', 'cao']","các bài thực hành rất hay , rất thực tế , khả năng vận dụng cao ."
-2.0,negative,negative,"['giảng_viên', 'giảng', 'không', 'thực', 'hiệu_quả']",giảng viên giảng bài không thực sự hiệu quả .
3.0,positive,positive,"['nhiệt_tình', 'vui', 'phương_pháp', 'giảng_dạy', 'tốt']","nhiệt tình , vui tính và phương pháp giảng dạy tốt ."
-2.0,negative,negative,"['nên', 'xuyên', 'sử_dụng', 'thiết_bị', 'micro', 'học', 'giọng', 'hơi_nhỏ']",cô nên thường xuyên sử dụng các thiết bị như micro trong giờ học vì giọng cô hơi nhỏ .
2.0,positive,positive,"['thầy', 'dạy', 'dễ', 'hiểu']",thầy dạy rất dễ hiểu !
-1.0,negative,negative,"['lab', 'chưa', 'ràng']",lab nhiều nhưng chưa rõ ràng .
6.0,positive,positive,"['thầy', 'giảng', 'dễ', 'hiểu', 'đúng', 'nội_dung', 'trọng_tâm', 'đúng', 'kiến_thức', 'cần_thiết']","thầy giảng bài dễ hiểu , đúng nội dung trọng tâm và đúng kiến thức cần thiết ."
2.0,positive,negative,"['nội_dung', 'kiến_thức', 'khá']","nội dung , kiến thức khá chung chung ."
3.0,positive,positive,"['vui', 'giảng', 'dễ', 'hiểu']","cô vui tính , giảng dễ hiểu ."
-2.0,negative,negative,"['không', 'có', 'nội_dung', 'thực_hành', 'môn_học']",không có nội dung thực hành của môn học này .
3.0,positive,positive,"['giảng_viên', 'tận_tâm', 'nhiệt_tình', 'giải_đáp', 'thắc_mắc']","giảng viên tận tâm , nhiệt tình giải đáp thắc mắc ."
-2.0,negative,negative,"['lớp', 'bóng_chuyền', 'lại', 'bị', 'bắt', 'tập_thể_lực', 'khá']",lớp bóng chuyền nhưng lại bị bắt tập thể lực khá nhiều .
5.0,positive,positive,"['thầy', 'dạy', 'hay', 'dễ', 'hiểu', 'có', 'thực_tiễn']","thầy dạy hay , dễ hiểu , có tính thực tiễn ."
-1.0,negative,negative,"['lý_thuyết', 'môn', 'thực_hành', 'không', 'song_song', 'thực_hành_lý_thuyết']",lý thuyết và môn thực hành không song song thực hành thường trước lý thuyết .
1.0,positive,positive,"['nhiệt_tình', 'giảng_dạy']",thấy rất nhiệt tình giảng dạy .
1.0,positive,negative,"['nâng', 'thiết_bị', 'phòng', 'lab']",nâng cấp thiết bị phòng lab .
1.0,positive,positive,"['thầy', 'wzjwz207', 'dạy', 'tốt']",thầy wzjwz207 dạy tốt .
2.0,positive,negative,"['nên', 'có', 'giáo_trình', 'cụ_thể', 'sinh_viên', 'dễ_dàng', 'tiếp_thu', 'rộng', 'kiến_thức']","nên có giáo trình cụ thể để sinh viên dễ dàng tiếp thu , mở rộng kiến thức ."
2.0,positive,positive,"['thầy', 'tận_tâm', 'nhiệt_tình', 'công']","thầy tận tâm , nhiệt tình , công bằng ."
-4.0,negative,negative,"['thầy', 'già', 'nên', 'hay', 'quên', 'sinh_viên', 'xin', 'thầy', 'up', 'slide', 'giảng', 'thầy', 'quên']","thầy già nên thường hay quên , sinh viên xin thầy up slide bài giảng nhưng lần nào thầy cũng quên ."
1.0,positive,positive,"['up', 'tài_liệu', 'hướng', 'đủ']",cô up tài liệu hướng dẫn đầy đủ .
2.0,positive,negative,"['thay_đổi', 'phương_pháp', 'dạy_học_sinh_viên', 'dễ', 'tiếp_thu', 'kiến_thức']",thay đổi phương pháp dạy học để sinh viên dễ tiếp thu kiến thức hơn .
3.0,positive,positive,"['dễ', 'hiểu', 'phương_thức', 'giảng_dạy', 'linh_hoạt']","dễ hiểu , phương thức giảng dạy linh hoạt ."
-3.0,negative,negative,"['phòng', 'học', 'thiết_bị', 'cần', 'được', 'cải_thiện']",phòng học và thiết bị cần được cải thiện .
2.0,positive,positive,"['tận_tâm', 'giảng', 'hay']","cô tận tâm , giảng bài hay ."
0.0,negative,negative,['chép'],chép bài nhiều .
1.0,positive,positive,"['thầy', 'vui']",thầy vui tính !
-2.0,negative,negative,"['thầy', 'giảng_dạy', 'không', 'thu_hút', 'lắm']",thầy giảng dạy không thu hút cho lắm .
2.0,positive,positive,"['thầy', 'cung', 'đủ', 'kiến_thức', 'sinh_viên', 'ngành_nghề', 'đào', 'trường']",thầy cung cấp đầy đủ kiến thức cho sinh viên về các ngành nghề đào tạo của trường .
-1.0,negative,negative,"['ghi', 'hơi_nhiều']",ghi hơi nhiều .
4.0,positive,positive,"['sinh_động', 'hoạt_bát', 'dễ', 'hiểu']","sinh động , hoạt bát , dễ hiểu ."
-1.0,negative,negative,"['sinh_viên', 'học', 'xong', 'có_thể', 'kiểm_tra', 'tốt', 'đa', 'không_thể', 'giao_tiếp', 'tiếng']",sinh viên học xong có thể làm bài kiểm tra tốt nhưng đa số không thể giao tiếp cơ bản bằng tiếng anh .
3.0,positive,positive,"['giảng_viên', 'nhiệt_tình', 'truyền_đạt', 'dễ', 'hiểu', 'công']","giảng viên nhiệt tình , truyền đạt dễ hiểu , điểm số công bằng ."
-4.0,negative,negative,"['hệ_thống', 'nộp', 'tập', 'turnitindotcom', 'quy_định', 'tỉ_lệ', 'chép', 'không', '30', '%', 'không', 'phù_hợp']",dùng hệ thống nộp bài tập turnitindotcom với quy định tỉ lệ sao chép không quá 30% không phù hợp !
2.0,positive,positive,"['nhiệt_tình', 'dễ_thương']","cô nhiệt tình , dễ thương ."
-2.0,negative,negative,"['chưa', 'bao', 'được', 'thầy', 'reply', 'mail']",em chưa bao giờ được thầy reply mail .
4.0,positive,positive,"['thầy', 'dạy', 'dễ', 'hiểu', 'cặn_kẽ', 'vấn_đề', 'nâng', 'cao']","thầy dạy rất dễ hiểu , cặn kẽ những vấn đề từ cơ bản đến nâng cao ."
-1.0,negative,negative,"['cần', 'lại', 'máy_chiếu', 'phòng', 'wzjwz40', 'mờ', 'phòng', 'wzjwz41', 'chiếu', 'demo', 'không', 'hết']","cần xem lại những chiếc máy chiếu ở phòng wzjwz40 rất mờ so với phòng wzjwz41 , khi chiếu demo không thấy gì hết !"
2.0,positive,positive,"['rất_tốt', 'bám_sát', 'môn_học']","rất tốt , bám sát môn học ."
2.0,positive,negative,"['phòng', 'học', 'chất', 'kém', 'phòng', 'lab', 'thực_hành', 'có', 'đầu_tư', 'máy', 'tốt', 'thiết_bị', 'thực_hành', 'đủ', 'hỏng_hóc']","phòng học chất lượng còn kém phòng lab thực hành có đầu tư , máy tính tốt , còn các thiết bị thực hành đầy đủ nhưng còn hỏng hóc nhiều ."
-1.0,negative,positive,"['hài', 'rep', 'mail', 'thầy', 'cực', 'nhanh_trừ', 'bảy', 'chủ_nhật', 'thầy', 'giải_lao', 'không', 'rep', 'mail']","hài lòng nhất là việc rep mail của thầy , cực nhanh trừ thứ bảy và chủ nhật thầy giải lao không rep mail ."
-4.0,negative,negative,"['phòng', 'thực_hành', 'nhỏ', 'nên', 'phòng', 'đào', 'cần', 'chia', 'ca', 'thực_hành', 'không', 'nên', 'đề', 'kéo', 'không', 'có', 'chỗ']",do phòng thực hành quá nhỏ nên phòng đào tạo cần chia ca thực hành chứ không nên đề các bạn kéo đến và không có chỗ ngồi .
3.0,positive,positive,"['dễ', 'hiểu', 'tận_tình']","dễ hiểu , tận tình ."
-3.0,negative,negative,"['giảng', 'chưa', 'sinh_động', 'gây', 'chán', 'sinh_viên', 'sinh_viên', 'không', 'tiếp_thu', 'được', 'kiến_thức', 'thầy']","bài giảng chưa sinh động , thường gây chán cho sinh viên , sinh viên không tiếp thu được nhiều về kiến thức thầy nói ."
1.0,positive,positive,"['độ', 'truyền_đạt', 'tốt']",mức độ truyền đạt tốt .
-4.0,negative,negative,"['giảng_viên', 'không', 'có', 'giải_quyết', 'tập', 'nộp', 'chỗ', 'bình']",giảng viên không có cách giải quyết gì mà vẫn cho làm bài tập nộp tại chỗ như bình thường .
4.0,positive,positive,"['giảng_viên', 'nhiệt_tình', 'dạy', 'giỏi', 'tận_tụy', 'giúp', 'sinh_viên', 'trình', 'giảng_dạy']",giảng viên nhiệt tình dạy giỏi tận tụy giúp sinh viên trong quá trình giảng dạy .
0.0,negative,negative,"['thiết', 'trường', 'cần', 'chuẩn', 'tiếng', 'đầu', 'lớp', 'chất', 'cao', 'cao', 'nữa', 'lớp', 'có_thể', 'thực', 'học', 'tiếng']",thiết nghĩ nhà trường cần đặt chuẩn tiếng anh đầu vào cho lớp chất lượng cao cao hơn nữa để lớp có thể thực sự học bằng tiếng anh .
4.0,positive,positive,"['vui', 'dạy', 'dễ', 'hiểu', 'tận_tình']","cô vui tính , dạy dễ hiểu , tận tình ."
1.0,positive,negative,"['nên', 'ôn', 'lại', 'lý_thuyết', 'hướng', 'kỹ', 'thực_hành']",nên ôn lại lý thuyết rồi hướng dẫn kỹ thực hành .
1.0,positive,positive,"['giáo_viên', 'dạy', 'nhiệt_tình']",giáo viên dạy rất nhiệt tình .
2.0,positive,negative,"['mục_đích', 'môn_học', 'có', 'liên_quan', 'dến', 'môn_học']","mục đích của môn học , có liên quan gì dến những môn học trước và sau này ."
3.0,positive,positive,"['thầy', 'hướng', 'kỹ', 'bám_sát', 'kiến_thức', 'học', 'lý_thuyết']",thầy hướng dẫn làm bài kỹ bám sát kiến thức học lý thuyết .
-2.0,negative,negative,"['chỉ_có', '1', 'không', 'hài', 'đề', 'thi', 'kỳ', 'vô_dài']",chỉ có 1 điểm em không hài lòng đó là đề thi cuối kỳ vô cùng dài .
1.0,positive,positive,"['thầy', 'nhiệt_tình', 'tận_tâm', 'chỉ', 'dạy', 'sinh_viên']",thầy rất nhiệt tình và tận tâm trong việc chỉ dạy sinh viên .
1.0,positive,negative,"['nâng', 'phòng', 'máy', 'thực_hành']",nâng cấp phòng máy thực hành .
2.0,positive,positive,"['kỷ_luật', 'cao']",tính kỷ luật cao .
2.0,positive,negative,"['cải_thiện', 'chất', 'máy_chiếu']",cải thiện chất lượng máy chiếu .
0.0,negative,positive,"['chỉ', 'nhiệt_tình']",chỉ rất nhiệt tình .
0.0,negative,negative,"['thầy', 'nên', 'check', 'mail', 'có', 'mail', 'sinh_viên', 'sinh_viên', 'gửi', 'mail', 'chẳng', 'bao', 'thầy', 'được']","thầy nên check mail và có trả lời mail của sinh viên , sinh viên gửi mail chẳng bao giờ thấy thầy trả lời là đã nhận được ."
2.0,positive,positive,"['nhiệt_tình', 'giúp_đỡ', 'sinh_viên']",nhiệt tình và giúp đỡ sinh viên .
-1.0,negative,negative,"['nên', 'giảng_dạy', 'ví_dụ']",nên giảng dạy vào ví dụ nhiều hơn .
3.0,positive,positive,"['giải_đáp', 'thắc_mắc', 'tập', 'sinh_viên', 'email', 'nhiệt_tình', 'nhanh_chóng']",giải đáp thắc mắc về bài tập cho sinh viên qua email nhiệt tình và nhanh chóng .
-1.0,negative,negative,"['thầy', 'chép', 'ít', 'giảng']","thầy cho chép nhiều , ít giảng bài ."
2.0,positive,positive,"['lớp_học', 'wzjwz216', 'sinh_viên', 'có_thể', 'nhiên', 'cải_thiện', 'kỹ_năng', 'giao_tiếp', 'thân']","đến với lớp học của cô wzjwz216 , sinh viên có thể tự nhiên cải thiện kỹ năng giao tiếp của bản thân ."
-5.0,negative,negative,"['phòng', 'học', 'bụi', 'máy_chiếu', 'xuyên', 'bị', 'trục_trặc', 'âm', 'loa', 'chưa', 'tốt']","phòng học còn nhiều bụi , máy chiếu thường xuyên bị trục trặc , âm thanh của loa chưa tốt ."
3.0,positive,positive,"['giảng_viên', 'có', 'tâm_huyết', 'hướng', 'tận_tình', 'sinh_viên']","giảng viên có tâm huyết , hướng dẫn tận tình để sinh viên làm bài ."
0.0,negative,negative,"['thầy', 'chấm', 'khá', 'gắt']",thầy chấm điểm khá gắt .
1.0,positive,positive,"['bắt_đầu', 'học', 'đúng']",bắt đầu giờ học đúng giờ .
-3.0,negative,negative,"['đồ_án', 'mơ_hồ', 'không', 'thực_tế']","đồ án cũng rất mơ hồ , không thực tế ."
1.0,positive,positive,"['thầy', 'dạy', 'có', 'tâm']",thầy dạy rất có tâm .
0.0,negative,negative,"['môn_học', 'nên', 'xuyên', 'cập_nhật', 'mới', 'phù_hợp', 'lại', 'thực_tế']","môn học này nên thường xuyên cập nhật mới , phù hợp với lại thực tế ."
2.0,positive,positive,"['đúng', 'có', 'tập', 'thực_hành']","đúng giờ , có bài tập sau mỗi buổi thực hành ."
-2.0,negative,negative,"['cần', 'bảo_trì', 'máy', 'bàn_phím', 'chuột']",cần bảo trì máy tính nhất là bàn phím và chuột .
1.0,positive,positive,"['nhiệt_tình', 'chịu_khó', 'hiểu', 'nhanh', 'vấn_đề', 'sinh_viên', 'mô_tả']","cô rất nhiệt tình , chịu khó và hiểu nhanh vấn đề mà sinh viên mô tả ."
0.0,negative,negative,"['phòng', 'máy', 'có', 'vấn_đề']",phòng máy có vấn đề .
3.0,positive,positive,"['giảng_viên', 'dạy', 'nhiệt_tình', 'có', 'hoạt_động', 'bổ_ích']","giảng viên dạy nhiệt tình , có những hoạt động ngoài giờ bổ ích ."
3.0,positive,negative,"['dạy', 'dễ', 'hiểu', 'không', 'bị', 'rối']","dạy dễ hiểu , không bị rối ."
3.0,positive,positive,"['giảng_viên', 'hiền_lành', 'dễ', 'trao_đổi', 'sinh_viên']","giảng viên hiền lành , dễ trao đổi với sinh viên ."
-4.0,negative,negative,"['phòng', 'thực_hành', 'cần', 'có', 'nâng', 'nhỏ', 'mềm', 'lập_trình', 'sinh_viên', 'cảm_hứng_thú', 'học']",phòng thực hành cần có một số nâng cấp nhỏ về phần mềm lập trình để sinh viên cảm thấy hứng thú hơn để đến học .
0.0,negative,positive,"['giải_đáp', 'chỉ', 'hướng', 'gỡ_rối', 'sinh_viên', 'vướng_bận']",luôn giải đáp và chỉ hướng gỡ rối cho sinh viên nếu còn vướng bận !
2.0,positive,negative,"['giảng_viên', 'chia', 'thành', 'sinh_viên', 'thảo_luận', 'có', 'hiệu_quả']",giảng viên chia thành nhiều nhóm để sinh viên thảo luận có hiệu quả .
3.0,positive,positive,"['có', 'kiến_thức', 'hay', 'đề_cương']",có nhiều kiến thức hay ngoài đề cương .
-1.0,negative,negative,['kém'],quá kém .
3.0,positive,positive,"['vui_vẻ', 'thân_thiết', 'sinh_viên', 'cảm_giác', 'thoải_mái']","vui vẻ , thân thiết với sinh viên tạo cảm giác thoải mái ."
-1.0,negative,negative,"['môn', 'lập_trình', 'thiết_bị', 'di_động', 'nên', 'đồ_án', 'thay', 'thi', 'kỳ', 'không', 'nên', 'thi', 'kỳ', 'hiện']",môn lập trình trên thiết bị di động nên lấy điểm đồ án thay cho thi cuối kỳ luôn chứ không nên thi cuối kỳ như hiện nay .
3.0,positive,positive,"['thầy', 'tận_tâm', 'sinh_viên', 'nhiệt_tình', 'dắt', 'học_trò', 'hoàn_thiện', 'thân', 'đồng_thời', 'hệ_thống_hóa', 'kiến_thức', 'chưa', 'vững', 'sinh_viên', 'dễ', 'tiếp_thu']","thầy quá tận tâm với sinh viên , nhiệt tình dẫn dắt học trò từng bước hoàn thiện bản thân đồng thời hệ thống hóa kiến thức chưa vững cho sinh viên dễ tiếp thu hơn rất nhiều ."
-1.0,negative,negative,"['ít', 'trẻ', 'năng_động', 'xíu', 'đi', 'đừng', 'chỗ']","ít gì thì mình là người trẻ , năng động xíu đi , chứ đừng ngồi chỗ ."
2.0,positive,positive,"['thầy', 'vui_vẻ', 'dạy', 'hay']","thầy vui vẻ , dạy hay ."
-2.0,negative,negative,"['cần', 'có', 'tiết', 'ngoại', 'khóa', 'giao_lưu', 'tiếng', 'lớp', 'thực_hành', 'giao_tiếp', 'xã_hội']","cần có những tiết ngoại khóa như giao lưu tiếng anh giữa các lớp , thực hành giao tiếp ngoài xã hội ."
3.0,positive,positive,"['nhiệt_tình', 'tốt_bụng', 'vui', 'hòa_nhã']","nhiệt tình , tốt bụng , vui tính , hòa nhã ."
-5.0,negative,negative,"['giảng_viên', 'đánh_giá', 'không', 'quan', 'có', 'đánh_giá', 'thiên_vị', 'thiếu', 'chuyên_nghiệp']","giảng viên đánh giá không khách quan , có những đánh giá thiên vị , thiếu chuyên nghiệp ."
2.0,positive,positive,"['giảng_viên', 'nhiệt_tình', 'gần_gũi', 'học_sinh']","giảng viên nhiệt tình , gần gũi với học sinh ."
-2.0,negative,negative,"['xuyên', 'nghỉ', 'bù', 'báo', 'nghỉ', 'courses', 'không', 'hề', 'báo', 'trực_tiếp', 'daa']","thường xuyên cho nghỉ , bù nhưng cũng báo nghỉ trên courses , không hề báo trực tiếp lên daa ."
2.0,positive,positive,"['dạy', 'nhiệt_tình', 'tận_tâm']","cô dạy nhiệt tình , tận tâm ."
1.0,positive,negative,"['thầy', 'nên', 'chiếu', 'hết', 'tập', 'có', 'slide', 'thầy']",thầy nên chiếu hết các bài tập có trong slide của thầy ạ .
2.0,positive,positive,"['dạy', 'tận_tình_sử_dụng', 'tập', 'demo', 'giúp', 'sinh_viên', 'hiểu', 'rỏ', 'học']",dạy tận tình và sử dụng nhiều bài tập demo giúp sinh viên hiểu rỏ hơn về bài học .
