Word,Token
trước bão,trước_bão
uống mún banh họng,uống_mún_banh_họng
ứ ự,ứ_ự
ưng banh xác,ưng_banh_xác
ướt áo,ướt_áo
ướt hết áo,ướt_hết_áo
ướt nhẹp,ướt_nhẹp
vai ác,vai_ác
vàng ấm,vàng_ấm
váng bẩn,váng_bẩn
vào mặt,vào_mặt
vẫn ấm,vẫn_ấm
viêm họng,viêm_họng
vò đầu,vò_đầu
vớt vát,vớt_vát
vừa ăn,vừa_ăn
vừa ấm,vừa_ấm
vừa béo,vừa_béo
vừa đủ,vừa_đủ
vừa êm,vừa_êm
vừa ngon,vừa_ngon
vừa tối vừa âm u,vừa_tối_vừa_âm_u
vừa thôi,vừa_thôi
vừa thơm,vừa_thơm
vừa uống,vừa_uống
vươn lên,vươn_lên
vượt ải,vượt_ải
wont comeback,wont_comeback
xao lãng,xao_lãng
xăm trổ,xăm_trổ
xì một cái,xì_một_cái
xoàng xoàng,xoàng_xoàng
xôi ngon,xôi_ngon
xốp nhẹ,xốp_nhẹ
xúc tích,xúc_tích
y chang,y_chang
yêu cực,yêu_cực
